Year,Estimate
1987,24414
1988,25892
1989,27810
1990,28381
1991,29614
1992,29846
1993,30692
1994,31731
1995,32264
1996,33797
1997,34819
1998,35535
1999,36995
2000,38045
2001,39518
2002,40677
2003,40817
2004,43395
2005,46409
2006,48398
2007,49638
2008,50486
2009,49067
2010,48109
2011,49705
2012,51442
2013,51100
2014,53495
2015,55978
2016,57311
2017,60060
2018,61224
2019,63036
