Year,Estimate
1987,4600
1988,5093
1989,5187
1990,5120
1991,5151
1992,5228
1993,5453
1994,6044
1995,6014
1996,6382
1997,6457
1998,6616
1999,7011
2000,7417
2001,7633
2002,7759
2003,7781
2004,7801
2005,8344
2006,8508
2007,8758
2008,8604
2009,7658
2010,7677
2011,8293
2012,8998
2013,9004
2014,9073
2015,9503
2016,9049
2017,9576
2018,9761
2019,10742
